"session_key","meeting_key","driver_number","date","recording_url"
9466,1229,55,"2024-02-29T15:42:28.652000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CARSAI01_55_20240229_154157.mp3"
9466,1229,11,"2024-02-29T15:43:01.299000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/SERPER01_11_20240229_154252.mp3"
9466,1229,4,"2024-02-29T15:44:09.001000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/LANNOR01_4_20240229_154353.mp3"
9466,1229,10,"2024-02-29T15:44:44.045000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/PIEGAS01_10_20240229_154418.mp3"
9466,1229,20,"2024-02-29T15:45:50.676000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/KEVMAG01_20_20240229_154542.mp3"
9466,1229,1,"2024-02-29T15:46:24.580000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/MAXVER01_1_20240229_154559.mp3"
9466,1229,1,"2024-02-29T15:46:24.743000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/MAXVER01_1_20240229_154603.mp3"
9466,1229,11,"2024-02-29T15:48:06.279000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/SERPER01_11_20240229_154753.mp3"
9466,1229,11,"2024-02-29T15:48:06.520000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/SERPER01_11_20240229_154759.mp3"
9466,1229,22,"2024-02-29T15:49:15.032000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/YUKTSU01_22_20240229_154904.mp3"
9466,1229,23,"2024-02-29T15:49:15.032000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/ALEALB01_23_20240229_154846.mp3"
9466,1229,10,"2024-02-29T15:52:03.260000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/PIEGAS01_10_20240229_155144.mp3"
9466,1229,3,"2024-02-29T15:52:37.108000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/DANRIC01_3_20240229_155211.mp3"
9466,1229,16,"2024-02-29T15:53:11.588000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/CHALEC01_16_20240229_155231.mp3"
9466,1229,11,"2024-02-29T15:53:11.792000+00:00","https://livetiming.formula1.com/static/2024/2024-03-02_Bahrain_Grand_Prix/2024-02-29_Practice_2/TeamRadio/SERPER01_11_20240229_155258.mp3"
