"date","driver_number","session_key","meeting_key","recording_url"
"2023-03-03T16:02:41.597000+00:00",63,7766,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-03_Practice_2/TeamRadio/GEORUS01_63_20230303_160222.mp3"
"2023-03-04T11:31:02.992000+00:00",4,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANNOR01_4_20230304_113055.mp3"
"2023-03-04T11:32:42.533000+00:00",4,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANNOR01_4_20230304_113208.mp3"
"2023-03-04T11:33:16.493000+00:00",4,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANNOR01_4_20230304_113257.mp3"
"2023-03-04T11:36:02.786000+00:00",27,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/NICHUL01_27_20230304_113549.mp3"
"2023-03-04T11:38:16.500000+00:00",4,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANNOR01_4_20230304_113731.mp3"
"2023-03-04T11:39:56.795000+00:00",27,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/NICHUL01_27_20230304_113912.mp3"
"2023-03-04T11:41:02.997000+00:00",55,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/CARSAI01_55_20230304_114036.mp3"
"2023-03-04T11:41:37.059000+00:00",55,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/CARSAI01_55_20230304_114109.mp3"
"2023-03-04T11:42:43.886000+00:00",20,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/KEVMAG01_20_20230304_114221.mp3"
"2023-03-04T11:43:52.432000+00:00",27,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/NICHUL01_27_20230304_114320.mp3"
"2023-03-04T11:44:57.602000+00:00",55,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/CARSAI01_55_20230304_114419.mp3"
"2023-03-04T11:49:55.485000+00:00",22,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/YUKTSU01_22_20230304_114924.mp3"
"2023-03-04T11:51:35.626000+00:00",18,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANSTR01_18_20230304_115113.mp3"
"2023-03-04T11:53:15.658000+00:00",16,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/CHALEC01_16_20230304_115238.mp3"
"2023-03-04T11:56:02.184000+00:00",1,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/MAXVER01_1_20230304_115549.mp3"
"2023-03-04T11:58:15.728000+00:00",14,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/FERALO01_14_20230304_115752.mp3"
"2023-03-04T12:01:02.288000+00:00",31,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/ESTOCO01_31_20230304_120035.mp3"
"2023-03-04T12:01:02.475000+00:00",1,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/MAXVER01_1_20230304_120041.mp3"
"2023-03-04T12:03:16.661000+00:00",81,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/OSCPIA01_81_20230304_120248.mp3"
"2023-03-04T12:03:51.753000+00:00",11,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/SERPER01_11_20230304_120324.mp3"
"2023-03-04T12:06:03.739000+00:00",10,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/PIEGAS01_10_20230304_120545.mp3"
"2023-03-04T12:06:04.032000+00:00",1,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/MAXVER01_1_20230304_120535.mp3"
"2023-03-04T12:08:50.248000+00:00",63,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/GEORUS01_63_20230304_120834.mp3"
"2023-03-04T12:10:29.996000+00:00",55,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/CARSAI01_55_20230304_121011.mp3"
"2023-03-04T12:15:29.006000+00:00",18,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LANSTR01_18_20230304_121507.mp3"
"2023-03-04T12:16:03.834000+00:00",23,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/ALEALB01_23_20230304_121554.mp3"
"2023-03-04T12:16:03.834000+00:00",55,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/CARSAI01_55_20230304_121556.mp3"
"2023-03-04T12:16:36.592000+00:00",23,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/ALEALB01_23_20230304_121558.mp3"
"2023-03-04T12:20:29.595000+00:00",44,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LEWHAM01_44_20230304_122000.mp3"
"2023-03-04T12:21:04.688000+00:00",63,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/GEORUS01_63_20230304_122019.mp3"
"2023-03-04T12:23:16.022000+00:00",44,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/LEWHAM01_44_20230304_122223.mp3"
"2023-03-04T12:23:16.576000+00:00",14,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/FERALO01_14_20230304_122240.mp3"
"2023-03-04T12:24:25.231000+00:00",63,7767,1141,"https://livetiming.formula1.com/static/2023/2023-03-05_Bahrain_Grand_Prix/2023-03-04_Practice_3/TeamRadio/GEORUS01_63_20230304_122345.mp3"
